"OSD030cc.Code.or.Value","OSD030cc.Value.Description","OSD030cc.Count","OSD030cc.Cumulative","OSD030cc.Skip.to.Item"
"30 to 53","Range of Values",4,4,NA
"80","80 or older",0,4,NA
"77777","Refused",0,4,NA
"99999","Don't know",0,4,NA
".","Missing",5931,5935,NA
