"AUXR8KR.Code.or.Value","AUXR8KR.Value.Description","AUXR8KR.Count","AUXR8KR.Cumulative","AUXR8KR.Skip.to.Item"
"40","40",1,1,NA
"666","No response",0,1,NA
"888","Could not obtain",0,1,NA
".","Missing",1209,1210,NA
