"OPX1OS00.Code.or.Value","OPX1OS00.Value.Description","OPX1OS00.Count","OPX1OS00.Cumulative","OPX1OS00.Skip.to.Item"
"0","None",35,35,NA
"6","p >= 5% 1st presentation",2731,2766,NA
"7","p >= 5% 2nd presentation",233,2999,NA
"8","p < 5%",113,3112,NA
"9","p < 2%",64,3176,NA
"10","p < 1%",176,3352,NA
".","Missing",511,3863,NA
