"LBDMIRLC.Code.or.Value","LBDMIRLC.Value.Description","LBDMIRLC.Count","LBDMIRLC.Cumulative","LBDMIRLC.Skip.to.Item"
"0","At or above the detection limit",147,147,NA
"1","Below lower detection limit",100,247,NA
".","Missing",0,247,NA
