"CFDCIT3.Code.or.Value","CFDCIT3.Value.Description","CFDCIT3.Count","CFDCIT3.Cumulative","CFDCIT3.Skip.to.Item"
"0 to 5","Range of Values",1458,1458,NA
".","Missing",229,1687,NA
