"DS2TFIBE.Code.or.Value","DS2TFIBE.Value.Description","DS2TFIBE.Count","DS2TFIBE.Cumulative","DS2TFIBE.Skip.to.Item"
"0.1 to 9","Range of Values",140,140,NA
".","Missing",10113,10253,NA
