"AUXU8KR.Code.or.Value","AUXU8KR.Value.Description","AUXU8KR.Count","AUXU8KR.Cumulative","AUXU8KR.Skip.to.Item"
"-10 to 110","Range of Values",2695,2695,NA
"666","No response",35,2730,NA
"888","Could not obtain",14,2744,NA
".","Missing",290,3034,NA
