"LBCPDT.Code.or.Value","LBCPDT.Value.Description","LBCPDT.Count","LBCPDT.Cumulative","LBCPDT.Skip.to.Item"
"0.0044 to 6.7413","Range of Values",264,264,NA
".","Missing",0,264,NA
