"LBDHCBLC.Code.or.Value","LBDHCBLC.Value.Description","LBDHCBLC.Count","LBDHCBLC.Cumulative","LBDHCBLC.Skip.to.Item"
"0","detectable result",30,30,NA
"1","below detectable limit",1672,1702,NA
".","Missing",572,2274,NA
