"DR2TCARB.Code.or.Value","DR2TCARB.Value.Description","DR2TCARB.Count","DR2TCARB.Cumulative","DR2TCARB.Skip.to.Item"
"0 to 1188.08","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
