"BIXS378K.Code.or.Value","BIXS378K.Value.Description","BIXS378K.Count","BIXS378K.Cumulative","BIXS378K.Skip.to.Item"
"71.77 to 858.15","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
