"DSQTSFAT.Code.or.Value","DSQTSFAT.Value.Description","DSQTSFAT.Count","DSQTSFAT.Cumulative","DSQTSFAT.Skip.to.Item"
"0.0001 to 6","Range of Values",125,125,NA
".","Missing",9129,9254,NA
