"URDETULC.Code.or.Value","URDETULC.Value.Description","URDETULC.Count","URDETULC.Cumulative","URDETULC.Skip.to.Item"
"0","At or above the detection limit",108,108,NA
"1","Below lower detection limit",2061,2169,NA
".","Missing",443,2612,NA
