"URDEPCLC.Code.or.Value","URDEPCLC.Value.Description","URDEPCLC.Count","URDEPCLC.Cumulative","URDEPCLC.Skip.to.Item"
"0","At or above detection limit",2759,2759,NA
"1","Below lower detection limit",3,2762,NA
".","Missing",224,2986,NA
