"MCQ260FH.Code.or.Value","MCQ260FH.Value.Description","MCQ260FH.Count","MCQ260FH.Cumulative","MCQ260FH.Skip.to.Item"
"8","Sister",163,163,"MCQ250G"
".","Missing",9330,9493,""
