"DS1TVD.Code.or.Value","DS1TVD.Value.Description","DS1TVD.Count","DS1TVD.Cumulative","DS1TVD.Skip.to.Item"
"0.17 to 1270","Range of Values",1932,1932,NA
".","Missing",7406,9338,NA
