"OSD030bb.Code.or.Value","OSD030bb.Value.Description","OSD030bb.Count","OSD030bb.Cumulative","OSD030bb.Skip.to.Item"
"7 to 82","Range of Values",63,63,NA
"85","85 or older",0,63,NA
"77777","Refused",0,63,NA
"99999","Don't know",1,64,NA
".","Missing",4816,4880,NA
