"RHQ586Q.Code.or.Value","RHQ586Q.Value.Description","RHQ586Q.Count","RHQ586Q.Cumulative","RHQ586Q.Skip.to.Item"
"1 to 19","Range of Values",44,44,NA
"77","Refused",0,44,NA
"99","Don't know",0,44,NA
".","Missing",3821,3865,NA
