"LBXCH1.Code.or.Value","LBXCH1.Value.Description","LBXCH1.Count","LBXCH1.Cumulative","LBXCH1.Skip.to.Item"
"1","Sensitive",266,266,NA
"2","Resistant",10,276,NA
"3","Intermediate",94,370,NA
"4","No Result",0,370,NA
".","Missing",8809,9179,NA
