"DR2TFIBE.Code.or.Value","DR2TFIBE.Value.Description","DR2TFIBE.Count","DR2TFIBE.Cumulative","DR2TFIBE.Skip.to.Item"
"0 to 100.9","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
