"URDCPMLC.Code.or.Value","URDCPMLC.Value.Description","URDCPMLC.Count","URDCPMLC.Cumulative","URDCPMLC.Skip.to.Item"
"0","At or above the detection limit",2568,2568,NA
"1","Below lower detection limit",71,2639,NA
".","Missing",120,2759,NA
