"WHQ070.Code.or.Value","WHQ070.Value.Description","WHQ070.Count","WHQ070.Cumulative","WHQ070.Skip.to.Item"
"1","Yes",1757,1757,""
"2","No",4287,6044,"WHQ090"
"7","Refused",4,6048,"WHQ090"
"9","Don't know",5,6053,"WHQ090"
".","Missing",581,6634,""
