"DR2TS060.Code.or.Value","DR2TS060.Value.Description","DR2TS060.Count","DR2TS060.Cumulative","DR2TS060.Skip.to.Item"
"0 to 3.313","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
