"ENXTR4G.Code.or.Value","ENXTR4G.Value.Description","ENXTR4G.Count","ENXTR4G.Cumulative","ENXTR4G.Skip.to.Item"
"1","Acceptable measurement",227,227,NA
"2","Could Not Obtain",11,238,NA
"3","< 5 ppb",4,242,NA
"4","> 300 ppb",0,242,NA
".","Missing",7501,7743,NA
