"OSD110h.Code.or.Value","OSD110h.Value.Description","OSD110h.Count","OSD110h.Cumulative","OSD110h.Skip.to.Item"
"31","31",1,1,NA
"85","85 or older",0,1,NA
"777","Refused",0,1,NA
"999","Don't know",0,1,NA
".","Missing",4978,4979,NA
