"LBDPCBLC.Code.or.Value","LBDPCBLC.Value.Description","LBDPCBLC.Count","LBDPCBLC.Cumulative","LBDPCBLC.Skip.to.Item"
"0","At or above the detection limit",246,246,NA
"1","Below lower detection limit",0,246,NA
".","Missing",1,247,NA
