"DR2TMOIS.Code.or.Value","DR2TMOIS.Value.Description","DR2TMOIS.Count","DR2TMOIS.Cumulative","DR2TMOIS.Skip.to.Item"
"0 to 14047.25","Range of Values",8288,8288,NA
".","Missing",1965,10253,NA
