"VIXKLM1.Code.or.Value","VIXKLM1.Value.Description","VIXKLM1.Count","VIXKLM1.Cumulative","VIXKLM1.Skip.to.Item"
"6.13 to 10","Range of Values",6451,6451,NA
"88","Could not obtain",42,6493,NA
".","Missing",497,6990,NA
