"WTMEC2YR.Code.or.Value","WTMEC2YR.Value.Description","WTMEC2YR.Count","WTMEC2YR.Cumulative","WTMEC2YR.Skip.to.Item"
"0 to 211850.66405","Range of Values",11039,11039,NA
".","Missing",0,11039,NA
