"ACD011A.Code.or.Value","ACD011A.Value.Description","ACD011A.Count","ACD011A.Cumulative","ACD011A.Skip.to.Item"
"1","English",4963,4963,NA
"77","Refused",0,4963,NA
"99","Don't know",1,4964,NA
".","Missing",4027,8991,NA
