"WBXP075.Code.or.Value","WBXP075.Value.Description","WBXP075.Count","WBXP075.Cumulative","WBXP075.Skip.to.Item"
"-151.5715 to 162.205","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
