"OPDSIRP.Code.or.Value","OPDSIRP.Value.Description","OPDSIRP.Count","OPDSIRP.Cumulative","OPDSIRP.Skip.to.Item"
"0","No",2245,2245,NA
"1","Yes",84,2329,NA
".","Missing",605,2934,NA
