"PAXQFH.Code.or.Value","PAXQFH.Value.Description","PAXQFH.Count","PAXQFH.Cumulative","PAXQFH.Skip.to.Item"
"0 to 121","Range of Values",1307994,1307994,NA
".","Missing",0,1307994,NA
