"TYXP152.Code.or.Value","TYXP152.Value.Description","TYXP152.Count","TYXP152.Cumulative","TYXP152.Skip.to.Item"
"-293 to 17","Range of Values",5782,5782,NA
".","Missing",2687,8469,NA
