"CDQ008.Code.or.Value","CDQ008.Value.Description","CDQ008.Count","CDQ008.Cumulative","CDQ008.Skip.to.Item"
"1","Yes",279,279,NA
"2","No",751,1030,NA
"7","Refused",0,1030,NA
"9","Don't know",1,1031,NA
".","Missing",2268,3299,NA
