"DR2TVB2.Code.or.Value","DR2TVB2.Value.Description","DR2TVB2.Count","DR2TVB2.Cumulative","DR2TVB2.Skip.to.Item"
"0 to 20.082","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
