"MCQ240t.Code.or.Value","MCQ240t.Value.Description","MCQ240t.Count","MCQ240t.Cumulative","MCQ240t.Skip.to.Item"
"48 to 63","Range of Values",3,3,NA
"80","80 years or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",0,3,NA
".","Missing",9767,9770,NA
