"MCQ220.Code.or.Value","MCQ220.Value.Description","MCQ220.Count","MCQ220.Cumulative","MCQ220.Skip.to.Item"
"1","Yes",549,549,""
"2","No",5165,5714,"MCQ300a"
"7","Refused",0,5714,"MCQ300a"
"9","Don't know",5,5719,"MCQ300a"
".","Missing",3856,9575,""
