"DXXOSBMD.Code.or.Value","DXXOSBMD.Value.Description","DXXOSBMD.Count","DXXOSBMD.Cumulative","DXXOSBMD.Skip.to.Item"
"0.422 to 1.901","Range of Values",5793,5793,NA
".","Missing",1941,7734,NA
