"URXMPB.Code.or.Value","URXMPB.Value.Description","URXMPB.Count","URXMPB.Cumulative","URXMPB.Skip.to.Item"
"0.71 to 7550","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
