"DR2IFDCD.Code.or.Value","DR2IFDCD.Value.Description","DR2IFDCD.Count","DR2IFDCD.Cumulative","DR2IFDCD.Skip.to.Item"
"11000000 to 94210200","Range of Values",121341,121341,NA
".","Missing",0,121341,NA
