"BPXPLS.Code.or.Value","BPXPLS.Value.Description","BPXPLS.Count","BPXPLS.Cumulative","BPXPLS.Skip.to.Item"
"40 to 220","Range of Values",7441,7441,NA
".","Missing",2509,9950,NA
