"URDUP8LC.Code.or.Value","URDUP8LC.Value.Description","URDUP8LC.Count","URDUP8LC.Cumulative","URDUP8LC.Skip.to.Item"
"0","At or above the detection limit",2355,2355,NA
"1","Below lower detection limit",0,2355,NA
".","Missing",107,2462,NA
