"CVDEXSTS.Code.or.Value","CVDEXSTS.Value.Description","CVDEXSTS.Count","CVDEXSTS.Cumulative","CVDEXSTS.Skip.to.Item"
"1","VO2max estimated",2561,2561,NA
"2","Tested but VO2max estimate missing",662,3223,NA
"3","Not done",1379,4602,NA
".","Missing",0,4602,NA
