"URDFLOW2.Code.or.Value","URDFLOW2.Value.Description","URDFLOW2.Count","URDFLOW2.Cumulative","URDFLOW2.Skip.to.Item"
"0 to 13.692","Range of Values",1307,1307,NA
".","Missing",7284,8591,NA
