"RFXC144.Code.or.Value","RFXC144.Value.Description","RFXC144.Count","RFXC144.Cumulative","RFXC144.Skip.to.Item"
"-6.349 to 7.795","Range of Values",33673,33673,NA
".","Missing",48,33721,NA
