"WBXA035.Code.or.Value","WBXA035.Value.Description","WBXA035.Count","WBXA035.Cumulative","WBXA035.Skip.to.Item"
"-2.995 to 0.9997","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
