"LBC153LA.Code.or.Value","LBC153LA.Value.Description","LBC153LA.Count","LBC153LA.Cumulative","LBC153LA.Skip.to.Item"
"1.885 to 211.7","Range of Values",299,299,NA
".","Missing",2,301,NA
