"LBCBR66.Code.or.Value","LBCBR66.Value.Description","LBCBR66.Count","LBCBR66.Cumulative","LBCBR66.Skip.to.Item"
"1.202 to 6.752","Range of Values",265,265,NA
".","Missing",0,265,NA
