"DR1IGRMS.Code.or.Value","DR1IGRMS.Value.Description","DR1IGRMS.Count","DR1IGRMS.Cumulative","DR1IGRMS.Skip.to.Item"
"0.02 to 9840","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
