"LB2LUZ.Code.or.Value","LB2LUZ.Value.Description","LB2LUZ.Count","LB2LUZ.Cumulative","LB2LUZ.Skip.to.Item"
"2 to 67.2","Range of Values",545,545,NA
".","Missing",6,551,NA
