"DS1TPFAT.Code.or.Value","DS1TPFAT.Value.Description","DS1TPFAT.Count","DS1TPFAT.Cumulative","DS1TPFAT.Skip.to.Item"
"0.075 to 3.5","Range of Values",189,189,NA
".","Missing",9355,9544,NA
