"DR2TATOC.Code.or.Value","DR2TATOC.Value.Description","DR2TATOC.Count","DR2TATOC.Cumulative","DR2TATOC.Skip.to.Item"
"0 to 139.35","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
