"URD25TLC.Code.or.Value","URD25TLC.Value.Description","URD25TLC.Count","URD25TLC.Cumulative","URD25TLC.Skip.to.Item"
"0","detectable result",2,2,NA
"1","below detectable limit",3045,3047,NA
".","Missing",105,3152,NA
