"DTDCER.Code.or.Value","DTDCER.Value.Description","DTDCER.Count","DTDCER.Cumulative","DTDCER.Skip.to.Item"
"0 to 2","Range of Values",7861,7861,NA
".","Missing",680,8541,NA
