"DS2TIRON.Code.or.Value","DS2TIRON.Value.Description","DS2TIRON.Count","DS2TIRON.Cumulative","DS2TIRON.Skip.to.Item"
"0 to 278","Range of Values",1070,1070,NA
".","Missing",8692,9762,NA
