"FSD652ZW.Code.or.Value","FSD652ZW.Value.Description","FSD652ZW.Count","FSD652ZW.Cumulative","FSD652ZW.Skip.to.Item"
"1","Yes",94,94,""
"2","No",139,233,"FSD652CW"
"7","Refused",2,235,"FSD652CW"
"9","Don't know",5,240,"FSD652CW"
".","Missing",9731,9971,""
