"LBXBGM.Code.or.Value","LBXBGM.Value.Description","LBXBGM.Count","LBXBGM.Cumulative","LBXBGM.Skip.to.Item"
"0.08 to 52.92","Range of Values",7841,7841,NA
".","Missing",1115,8956,NA
