"RHQ576Q.Code.or.Value","RHQ576Q.Value.Description","RHQ576Q.Count","RHQ576Q.Cumulative","RHQ576Q.Skip.to.Item"
"1 to 18","Range of Values",78,78,NA
"77","Refused",0,78,NA
"99","Don't know",2,80,NA
".","Missing",3538,3618,NA
