"DSDACTSS.Code.or.Value","DSDACTSS.Value.Description","DSDACTSS.Count","DSDACTSS.Cumulative","DSDACTSS.Skip.to.Item"
"0.0033 to 48","Range of Values",8891,8891,NA
".","Missing",226,9117,NA
