"LBXSTP.Code.or.Value","LBXSTP.Value.Description","LBXSTP.Count","LBXSTP.Cumulative","LBXSTP.Skip.to.Item"
"5.2 to 10.1","Range of Values",6253,6253,NA
".","Missing",491,6744,NA
