"URXDEE.Code.or.Value","URXDEE.Value.Description","URXDEE.Count","URXDEE.Cumulative","URXDEE.Skip.to.Item"
"0.0587 to 45.1","Range of Values",2744,2744,NA
".","Missing",87,2831,NA
