"DR2TVB6.Code.or.Value","DR2TVB6.Value.Description","DR2TVB6.Count","DR2TVB6.Cumulative","DR2TVB6.Skip.to.Item"
"0 to 14.484","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
