"LBXPDE.Code.or.Value","LBXPDE.Value.Description","LBXPDE.Count","LBXPDE.Cumulative","LBXPDE.Skip.to.Item"
"0.034 to 173.274","Range of Values",1964,1964,NA
".","Missing",310,2274,NA
